Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,Weekly Wages,Annual Wages,Cluster
Brenden Aaronson,USA,MF,Leeds United, Premier League,21,2000,36,28,2372.0,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43.0,86.0,151.0,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31,57195,2974157,2
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37,37,3330.0,37.0,1,2,3,1,0,0,6,0,2.4,2.4,1.0,3.4,40.0,215.0,10.0,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09,25234,1312153,2
Himad Abdelli,ALG,MF,Angers,Ligue 1,22,1999,30,24,2137.0,23.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58.0,151.0,111.0,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18,2523,131215,2
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,33,33,2894.0,32.2,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33.0,165.0,44.0,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08,5678,295234,2
Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,29,28,2342.0,26.0,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13.0,143.0,14.0,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07,5047,262431,2
Matthis Abline,FRA,FW,Auxerre,Ligue 1,19,2003,19,8,806.0,9.0,2,1,3,1,1,2,1,0,3.6,2.0,0.7,2.7,14.0,8.0,49.0,0.22,0.11,0.33,0.11,0.22,0.4,0.08,0.47,0.22,0.3,631,32804,1
Zakaria Aboukhlal,MAR,FW,Toulouse,Ligue 1,22,2000,37,28,2473.0,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100.0,72.0,276.0,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54,6308,328038,2
Tammy Abraham, ENG,FW,Roma,Serie A,24,1997,38,24,2189.0,24.3,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35.0,54.0,141.0,0.33,0.12,0.45,0.33,0.45,0.45,0.15,0.6,0.45,0.6,121332,6309268,2
Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,1,0,15.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178,61234,1
Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,31,25,2425.0,26.9,0,2,2,0,0,0,4,0,1.0,1.0,1.1,2.1,39.0,100.0,32.0,0.0,0.07,0.07,0.0,0.07,0.04,0.04,0.08,0.04,0.08,58458,3039820,2
Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,2,0,36.0,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.39,0.3,0.39,1682,87477,1
Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,30,21,1912.0,21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49.0,102.0,94.0,0.14,0.09,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26,60981,3171036,0
Che Adams, SCO,FW,Southampton, Premier League,26,1996,28,23,1992.0,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17.0,34.0,115.0,0.23,0.14,0.36,0.23,0.36,0.3,0.13,0.42,0.3,0.42,38130,1982771,0
Tyler Adams,USA,MF,Leeds United, Premier League,23,1999,24,24,2156.0,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19.0,136.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,69905,3635081,2
Sargis Adamyan,ARM,FW,Köln,Bundesliga,29,1993,24,4,644.0,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12.0,24.0,58.0,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58,12617,656076,1
Tosin Adarabioyo, ENG,DF,Fulham, Premier League,24,1997,25,23,2085.0,23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16.0,95.0,3.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,50840,2643695,0
Karim Adeyemi,GER,FW,Dortmund,Bundesliga,20,2002,24,20,1386.0,15.4,6,5,11,6,0,1,9,0,5.0,4.3,3.7,8.0,49.0,47.0,131.0,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52,105140,5467303,0
Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,2000,26,16,1435.0,15.9,5,3,8,5,0,0,2,2,5.0,5.0,1.7,6.7,46.0,49.0,137.0,0.31,0.19,0.5,0.31,0.5,0.31,0.11,0.42,0.31,0.42,23972,1246545,0
Yacine Adli,FRA,MF,Milan,Serie A,22,2000,6,1,144.0,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.22,0.05,0.22,21659,1126264,1
Michel Aebischer,SUI,FW,Bologna,Serie A,25,1997,32,18,1542.0,17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14.0,46.0,85.0,0.06,0.0,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12,13458,699815,0
Felix Afena-Gyan,GHA,FW,Cremonese,Serie A,19,2003,23,7,817.0,9.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,22.0,8.0,54.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.22,0.21,0.22,7780,404580,1
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,29,27,2388.0,26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15.0,131.0,8.0,0.0,0.11,0.11,0.0,0.11,0.06,0.09,0.15,0.06,0.15,12617,656076,2
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,8,7,675.0,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8832,459253,1
Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,15,14,1094.0,12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9.0,93.0,10.0,0.0,0.08,0.08,0.0,0.08,0.07,0.09,0.16,0.07,0.16,13879,721684,0
Felix Agu,GER,DF,Werder Bremen,Bundesliga,22,1999,3,0,49.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.22,0.07,0.22,12617,656076,1
Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,34,18,1888.0,21.0,1,2,3,1,0,0,4,0,1.0,1.0,2.2,3.2,29.0,139.0,50.0,0.05,0.1,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15,3259,169486,0
Kevin Agudelo,COL,MF,Spezia,Serie A,23,1998,34,23,2131.0,23.7,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81.0,110.0,100.0,0.0,0.04,0.04,0.0,0.04,0.06,0.13,0.19,0.06,0.19,15561,809161,2
Nayef Aguerd,MAR,DF,West Ham, Premier League,26,1996,18,17,1595.0,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2.0,25.0,4.0,0.11,0.0,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15,63550,3304619,0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,20,14,1172.0,13.0,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,29.0,102.0,78.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,31542,1640191,0
Naouirou Ahamada,FRA,MF,Crystal Palace, Premier League,20,2002,8,0,94.0,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.22,0.15,0.22,421,21869,1
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,30,16,1300.0,14.4,3,1,4,3,0,0,4,1,1.2,1.2,0.9,2.1,25.0,50.0,37.0,0.21,0.07,0.28,0.21,0.28,0.08,0.07,0.15,0.08,0.15,19556,1016918,0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,35,35,3119.0,34.7,3,0,3,3,0,0,6,1,1.0,1.0,0.1,1.1,15.0,95.0,2.0,0.09,0.0,0.09,0.09,0.09,0.03,0.0,0.03,0.03,0.03,41005,2132248,2
